"name","year","duration","genre","rating","description","director","stars"
"Cats","2019","1h 50min","Comedy Drama Family","2.8","A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.","Tom Hooper","James Corden Judi Dench Jason Derulo"
"Meet the Spartans","2008","1h 24min","Comedy Fantasy","2.8","A spoof of 300 (2006) and many other movies, TV series/shows/commercials, video games and celebrities. King Leonidas of Sparta and his army of 12 go to war against Xerxes of Persia to fight to the death for Sparta's freedom.","Jason Friedberg","Sean Maguire Kevin Sorbo Carmen Electra"
"Date Movie","2006","1h 23min","Comedy Romance","2.8","Spoof of romantic comedies which focuses on a woman, her crush, her parents, and her father.","Aaron Seltzer","Alyson Hannigan Adam Campbell Fred Willard"
"Santa Claus Conquers the Martians","1964","1h 21min","Adventure Comedy Family","2.8","The Martians kidnap Santa Claus because there is nobody on Mars to give their children presents.","Nicholas Webster","John Call Leonard Hicks Vincent Beck"
"The Next 365 Days","2022","1h 52min","Drama Romance","2.9","Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.","Barbara Bialowas","Anna-Maria Sieklucka Michele Morrone Simone Susinna"
"Winnie-the-Pooh: Blood and Honey","2023","1h 24min","Horror","2.9","After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food.","Rhys Frake-Waterfield","Nikolai Leon Maria Taylor Natasha Rose Mills"
"Anti-Life","2020","1h 32min","Action Horror Sci-Fi","2.9","On the cusp of fatherhood, a junior mechanic aboard an interstellar ark to New Earth must outwit a malevolent cosmic terror intent on using the spaceship as a weapon.","John Suits","Cody Kearsley Bruce Willis Rachel Nichols"
"Jiu Jitsu","2020","1h 42min","Action Sci-Fi Thriller","2.9","Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.","Dimitri Logothetis","Alain Moussi Nicolas Cage Raymond Pinharry"
"Tees Maar Khan","2010","2h 15min","Comedy Crime","2.9","Posing as a movie director, a conman attempts to trick an entire village into helping him rob a treasure-laden train.","Farah Khan","Akshay Kumar Katrina Kaif Akshaye Khanna"
"BloodRayne","2005","1h 35min","Action Fantasy Horror","3.0","In the eighteenth century, a vampire escapes from the freak show, in which she once participated, and teams up with a group of vampire slayers to kill the man who raped her mother.","Uwe Boll","Kristanna Loken Ben Kingsley Michelle Rodriguez"
"3 Ninjas: High Noon at Mega Mountain","1998","1h 33min","Action Adventure Comedy","3.0","The three unstoppable Ninja brothers fight to save their hero (Hulk Hogan) and Mega Mountain Amusement Park from the vicious kid-hating Medusa (Loni Anderson).","Sean McNamara","Loni Anderson Hulk Hogan Jim Varney"
"Steel","1997","1h 37min","Action Adventure Crime","3.0","A scientist for the military turns himself into a cartoon-like superhero when a version of one of his own weapons is being used against enemies.","Kenneth Johnson","Shaquille O'Neal Annabeth Gish Judd Nelson"
"Dabangg 3","2019","2h 40min","Action Comedy Crime","3.0","The past comes back to haunt the unflinching Inspector Chulbul Pandey when an old enemy, Bali Singh, returns and places his family in danger.","Prabhu Deva","Salman Khan Sudeep Sonakshi Sinha"
"Troll 2","1990","1h 35min","Comedy Fantasy Horror","3.0","A family moving to a rural town is stalked by goblins that turn people into plants; young Joshua tries to stop them after his deceased grandfather’s spirit warns him.","Claudio Fragasso","Michael Stephenson, George Hardy, Connie McFarland, Jason Wright"
"Jaws: The Revenge","1987","1h 29min","Adventure Horror Thriller","3.1","Widowed Ellen Brody is convinced a great white shark is seeking revenge on her family, particularly after her son’s death, following her to the Bahamas where new terror unfolds.","Joseph Sargent","Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson"
"Left Behind","2014","1h 50min","Action Fantasy Sci-Fi","3.1","A small group of survivors is left behind after millions of people suddenly vanish and the world is plunged into chaos and destruction.","Vic Armstrong","Nicolas Cage Lea Thompson Cassi Thomson"
"Rollerball","2002","1h 38min","Action Sci-Fi Sport","3.1","The big thing in 2005 is a violent sport which can have some pretty serious consequences... like dying.","John McTiernan","Chris Klein Jean Reno LL Cool J"
"Kazaam","1996","1h 33min","Comedy Family Fantasy","3.2","A troubled kid inadvertently releases a genie, who must grant him any three wishes he requests.","Paul Michael Glaser","Shaquille O'Neal Francis Capra Ally Walker"
"Bratz","2007","1h 50min","Comedy Family Music","3.2","During their first year of high school, four best girlfriends face off against the domineering student body President, who wants to split them up into different social cliques.","Sean McNamara","Skyler Shaye Janel Parrish Logan Browning"
"Daddy Day Camp","2007","1h 29min","Comedy Family","3.2","During their first year of high school, four best girlfriends face off against the domineering student body President, who wants to split them up into different social cliques.","Sean McNamara","Skyler Shaye Janel Parrish Logan Browning"
"The NeverEnding Story III: Return to Fantasia","1994","1h 40min","Adventure Comedy Family","3.2","A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.","Peter MacDonald","Jason James Richter Melody Kay Jack Black"
"Far Cry","2008","1h 35min","Action Adventure Sci-Fi","3.2","An ex-special forces soldier turned boatman is hired by a journalist to investigate a top-secret military base on a nearby island.","Uwe Boll","Til Schweiger Emmanuelle Vaugier Natalia Avelon"
"Goal III: Taking on the World","2009","1h 36min","Drama Romance Sport","3.2","The heroes compete on the greatest stage of all, the FIFA World Cup Finals.","Andrew Morahan","JJ Feild Leo Gregory Kuno Becker"
"365 Days","2020","1h 54min","Drama Romance","3.3","Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","Barbara Bialowas","Anna-Maria Sieklucka Michele Morrone Bronislaw Wroclawski"
"Jack and Jill","2011","1h 31min","Comedy","3.3","Family guy, Jack Sadelstein, prepares for the annual event he always dreads--the Thanksgiving visit of his fraternal twin sister, the needy, and passive-aggressive Jill, who then refuses to leave.","Dennis Dugan","Adam Sandler Katie Holmes Al Pacino"
"Slender Man","2018","1h 33min","Horror Mystery Thriller","3.3","In a small town in Massachusetts, a group of friends, fascinated by the internet lore of the Slender Man, attempt to prove that he doesn't actually exist - until one of them mysteriously goes missing.","Sylvain White","Joey King Julia Goldani Telles Jaz Sinclair"
"The Starving Games","2013","1h 23min","Adventure Comedy Sci-Fi","3.3","In this ""Hunger Games"" spoof, Kantmiss Evershot must fight for her life in the 75th annual Starving Games, in which she could also win an old ham, a coupon for a foot-long sub, and a partially-eaten pickle.","Jason Friedberg","Maiara Walsh Brant Daugherty Cody Christian"
"Captain America","1990","1h 37min","Action Adventure Sci-Fi","3.3","Frozen in the ice for decades, Captain America is freed to battle against archcriminal The Red Skull.","Albert Pyun","Matt Salinger Ronny Cox Ned Beatty"
"Bucky Larson: Born to Be a Star","2011","1h 37min","Comedy","3.3","A kid from the Midwest moves out to Hollywood in order to follow in his parents footsteps, and become a porn star.","Tom Brady","Nick Swardson Don Johnson Christina Ricci"
"The Open House","2018","1h 34min","Horror Thriller","3.3","A teenager and his mother find themselves besieged by threatening forces when they move into a new house.","Matt Angel","Dylan Minnette Piercey Dalton Patricia Bethune"
"Hercules in New York","1970","1h 31min","Adventure Comedy Fantasy","3.3","Hercules comes to Earth where he finds true love and starts a promising career in the wrestling and power lifting business.","Arthur Allan Seidelman","Arnold Stang Arnold Schwarzenegger Deborah Loomis"
"Catwoman","2004","1h 44min","Action Crime Fantasy","3.4","A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.","Pitof","Halle Berry Sharon Stone Benjamin Bratt"
"The Master of Disguise","2002","1h 20min","Adventure Comedy Family","3.4","An Italian waiter fights off a criminal mastermind with his inherited powers of disguise.","Perry Andelin Blake","Dana Carvey Jennifer Esposito Harold Gould"
"Feardotcom","2002","1h 41min","Crime Horror Thriller","3.4","A New York City detective investigates mysterious deaths occurring 48 hours after users log onto a site named feardotcom.","William Malone","Stephen Dorff Natascha McElhone Stephen Rea"
"The Return of the Texas Chainsaw Massacre","1994","1h 27min","Comedy Horror Thriller","3.4","A group of teenagers get into a car crash in the Texas woods on prom night, and then wander into an old farmhouse that is home to Leatherface (Robert Jacks) and his insane family of cannibalistic psychopaths.","Kim Henkel","Renée Zellweger Matthew McConaughey Robert Jacks"
"Vampires Suck","2010","1h 22min","Comedy Horror","3.4","In this spoof of vampire-themed movies, teenager Becca finds herself torn between two boys. She and her friends wrestle with endless dramas that crescendo at the prom.","Jason Friedberg","Jenn Proske Matt Lanter Diedrich Bader"
"Mac and Me","1988","1h 39min","Adventure Comedy Family","3.4","An alien trying to escape from NASA is befriended by a wheelchair-bound boy.","Stewart Raffill","Christine Ebersole Jonathan Ward Jade Calegory"
"Recep Ivedik 5","2017","1h 54min","Comedy","3.4","Recep continues his adventure with international athletic games.","Togan Gökbakar","Sahan Gökbakar Orkan Varan Deniz Ceylan"
"Veere Di Wedding","2018","2h 15min","Comedy","3.4","Four girls on their way to find true love discover that their friendship must remain strong until the wedding of a friend named Veer.","Shashanka Ghosh","Kareena Kapoor Sonam Kapoor Swara Bhasker"
"The Emoji Movie","2017","1h 26min","Animation Adventure Comedy","3.5","Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.","Tony Leondis","T.J. Miller James Corden Anna Faris"
"Police Academy: Mission to Moscow","1994","1h 23min","Comedy Crime","3.5","The Russian government hires the veterans of the Police Academy (1984) to help deal with the Mafia.","Alan Metter","G.W. Bailey George Gaynes Michael Winslow"
"Fifty Shades of Black","2016","1h 32min","Comedy","3.5","An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.","Michael Tiddes","Marlon Wayans Kali Hawk Fred Willard"
"2001: A Space Travesty","2000","1h 39min","Comedy Sci-Fi","3.5","Marshal Dix is to free US president from aliens on the int'l lunar base. A clone has replaced him in The White House. Can Dix prevent an alien invasion?","Allan A. Goldstein","Leslie Nielsen Ophélie Winter Ezio Greggio"
"Dragon Wars","2007","1h 47min","Action Drama Fantasy","3.5","Once in 500 years, ancient mythical creatures come to Earth, wreaking havoc and destruction. This time they must be stopped.","Hyung-rae Shim","Jason Behr Amanda Brooks Robert Forster"
"The Hungover Games","2014","1h 25min","Adventure Comedy Fantasy","3.5","A spoof on The Hangover (2009), The Hunger Games (2012) and other movies, TV series etc. 4 men, with hangovers after a bachelor party, find themselves in a future, dystopian, kill or be killed game.","Josh Stolberg","Ben Begley Herbert Russell Ross Nathan"
"Teen Wolf Too","1987","1h 35min","Comedy Fantasy","3.5","Todd Howard is a struggling college student. Nothing seems to be going very well for him, until he turns into a wolf.","Christopher Leitch","Jason Bateman Kim Darby John Astin"
"Dumb and Dumberer: When Harry Met Lloyd","2003","1h 25min","Comedy","3.5","Todd Howard is a struggling college student. Nothing seems to be going very well for him, until he turns into a wolf.","Christopher Leitch","Jason Bateman Kim Darby John Astin"
"Day of the Dead: Bloodline","2017","1h 30min","Action Drama Horror","3.5","A small group of military personnel and survivalists dwell in an underground bunker as they seek to find a cure in a world overrun by zombies.","Hèctor Hernández Vicens","Sophie Skelton Johnathon Schaech Jeff Gum"
"Black Christmas","2019","1h 32min","Horror Mystery Thriller","3.5","A group of female students is stalked by a stranger during their Christmas break. That is until the young sorority pledges discover that the killer is part of an underground college conspiracy.","Sophia Takal","Imogen Poots Aleyse Shannon Lily Donoghue"
"Larry the Cable Guy: Health Inspector","2006","1h 29min","Comedy Romance","3.5","A slovenly cable repairman becomes a big city Health Inspector, and is tasked with uncovering the source of a food poisoning epidemic.","Trent Cooper","Larry the Cable Guy David Koechner Michael Papajohn"
"Scary Movie 5","2013","1h 28min","Comedy","3.6","A couple begin to experience some unusual activity after bringing their lost nieces and nephew home. With the help of home-surveillance cameras, they learn they're being stalked by a nefarious demon.","Malcolm D. Lee","Simon Rex Ashley Tisdale Charlie Sheen"
"The Room","2003","1h 39min","Drama","3.6","In San Francisco, an amiable banker's seemingly perfect life is turned upside down when his deceitful bride-to-be embarks on a passionate affair with his best friend.","Tommy Wiseau","Tommy Wiseau Juliette Danielle Greg Sestero"
"Swept Away","2002","1h 29min","Comedy Romance","3.6","A snooty socialite is stranded on a Mediterranean island with a communist sailor.","Guy Ritchie","Madonna Adriano Giannini Bruce Greenwood"
"I Know Who Killed Me","2007","1h 46min","Horror Mystery Thriller","3.6","A young woman who was missing reappears, but she claims to be someone else entirely.","Chris Sivertson","Lindsay Lohan Julia Ormond Neal McDonough"
"Mortal Kombat: Annihilation","1997","1h 35min","Action Adventure Fantasy","3.6","A group of martial-arts warriors has only six days to save the Earth from an extra-dimensional invasion.","John R. Leonetti","Robin Shou Talisa Soto James Remar"
"Dance Flick","2009","1h 23min","Action Comedy Music","3.6","Street dancer Thomas Uncles is from the wrong side of the tracks, but his bond with the beautiful Megan White might help the duo realize their dreams as they enter in the mother of all dance battles.","Damien Dante Wayans","Marlon Wayans Shawn Wayans Shoshana Bush"
"Barb Wire","1996","1h 38min","Action Sci-Fi","3.6","During the Second American Civil War in 2017, Barb Wire owns a nightclub called the Hammerhead. Things become complicated when her ex-lover Axel Hood, who is married to the fugitive Corrina Devonshire, re-enters her life.","David Hogan","Pamela Anderson Amir AboulEla Adriana Alexander"
"Spy Kids 4: All the Time in the World","2011","1h 29min","Action Adventure Comedy","3.6","A retired spy is called back into action, and to bond with her new step-children, she invites them along for the adventure to stop the evil Timekeeper from taking over the world.","Robert Rodriguez","Jessica Alba Jeremy Piven Joel McHale"
"Housefull 4","2019","2h 25min","Action Comedy Drama","3.6","Three couples who get separated from each other due to an evil ploy, reincarnate after 600 years and meet each other as history repeats itself again and their respective partners get mixed up this time.","Farhad Samji","Akshay Kumar Riteish Deshmukh Bobby Deol"
"Stan Helsing","2009","1h 30min","Comedy Fantasy Horror","3.6","Stan Helsing, a video‐store clerk who discovers he's descended from Van Helsing, must face classic monsters and save his town on Halloween night.","Bo Zenga","Steve Howey, Diora Baird, Kenan Thompson, Desi Lydic, Leslie Nielsen"
"Home Sweet Home Alone","2021","1h 33min","Comedy Crime Family","3.6","A married couple tries to steal back a valuable heirloom from a troublesome kid.","Dan Mazer","Ellie Kemper Rob Delaney Archie Yates"
"S. Darko - A Donnie Darko Tale","2009","1h 43min","Drama Mystery Sci-Fi","3.6","A married couple tries to steal back a valuable heirloom from a troublesome kid.","Dan Mazer","Ellie Kemper Rob Delaney Archie Yates"
"Singularity","2017","1h 32min","Action Adventure Drama","3.6","Earth 2020, 3/4 of it's households have a robot. The AI supercomputer, Kronos, considers humans the biggest threat to Earth. A century later, few humans are left. Calia seeks the last human stronghold as does Kronos.","Robert Kouba","Julian Schaffner John Cusack Carmen Argenziano"
"Jaws 3","1983","1h 39min","Adventure Horror Thriller","3.7","A giant thirty-five-foot shark becomes trapped in a SeaWorld theme park and it's up to the sons of police chief Brody to rescue everyone.","Joe Alves","Dennis Quaid Bess Armstrong Simon MacCorkindale"
"Spice World","1997","1h 33min","Comedy Family Music","3.7","World-famous pop group the Spice Girls zip around London in their luxurious double-decker tour bus having various adventures and performing for their fans.","Bob Spiers","Mel B Emma Bunton Melanie C"
"The Flintstones in Viva Rock Vegas","2000","1h 30min","Comedy Family Romance","3.7","In this live-action prequel to The Flintstones (1994), the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma Slaghoople is pursued by playboy Chip Rockefeller.","Brian Levant","Mark Addy Stephen Baldwin Kristen Johnston"
"Dungeons & Dragons","2000","1h 47min","Action Adventure Fantasy","3.7","Profion, a tyrant, attempts to overthrow a peaceful kingdom ruled by a tough empress.","Courtney Solomon","Justin Whalin Jeremy Irons Zoe McLellan"
"The Black Demon","2023","1h 40min","Action Drama Horror","3.7","Stranded on a crumbling rig in Baja, a family faces off against a vengeful megalodon shark.","Adrian Grunberg","Omar Chaparro Bolivar Sanchez Carlos Solórzano"
"Ballistic: Ecks vs. Sever","2002","1h 31min","Action Crime Mystery","3.7","Tasked with destroying each other, an FBI agent and a rogue DIA agent soon discover that a much bigger enemy is at work.","Wych Kaosayananda","Antonio Banderas Lucy Liu Talisa Soto"
"Extreme Movie","2008","1h 26min","Comedy","3.7","A sketch-comedy movie about the joys and embarrassments of teen sex. But mostly the embarrassments.","Adam Jay Epstein","Frankie Muniz Michael Cera Ashley Schneider"
"The Fog","2005","1h 40min","Horror Mystery","3.7","A thick mist full of vengeful spirits haunts a prosperous island town off the coast of Oregon, as its inhabitants try to learn their town's dark secret in order to stop it.","Rupert Wainwright","Tom Welling Maggie Grace Selma Blair"
"Delta Farce","2007","1h 30min","Action Adventure Comedy","3.7","Three bumbling Army reservists bound for Iraq are accidentally dropped at Mexican village besieged by hostile forces.","C.B. Harding","Larry the Cable Guy Bill Engvall DJ Qualls"
"Street Fighter: The Legend of Chun-Li","2009","1h 36min","Action Crime Fantasy","3.7","When a child, Chun-Li sees her father being captured by wealthy gangster Bison. When she grows up, she goes into a quest for justice and bring down the criminal organization Shadaloo which is led by Bison.","Andrzej Bartkowiak","Kristin Kreuk Neal McDonough Michael Clarke Duncan"
"Sikandar","2025","2h 28min","Action Drama Thriller","3.7","A fiery youth confronts a powerful network of corruption, challenging the status quo and fighting for the common people's rights in a nation gripped by injustice.","A.R. Murugadoss","Salman Khan Sathyaraj Rashmika Mandanna"
"Cabin Fever","2016","1h 39min","Horror Sci-Fi Thriller","3.7","A fiery youth confronts a powerful network of corruption, challenging the status quo and fighting for the common people's rights in a nation gripped by injustice.","A.R. Murugadoss","Salman Khan Sathyaraj Rashmika Mandanna"
"Judwaa 2","2017","2h 25min","Action Comedy Romance","3.7","Prem and Raja are twin brothers who are seperated at birth but are uniquely connected to eachother via their reflexes. They reunite as adults and set out to take down the underground smuggling world.","David Dhawan","Varun Dhawan Jacqueline Fernandez Taapsee Pannu"
"Batman & Robin","1997","2h 5min","Action Sci-Fi","3.8","Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.","Joel Schumacher","Arnold Schwarzenegger George Clooney Chris O'Donnell"
"Star Trek: Section 31","2025","1h 35min","Action Adventure Drama","3.8","In Star Trek: Section 31, Emperor Philippa Georgiou joins a secret division of Starfleet tasked with protecting the United Federation of Planets, and must face the sins of her past.","Olatunde Osunsanmi","Michelle Yeoh Omari Hardwick Sam Richardson"
"Superman IV: The Quest for Peace","1987","1h 30min","Action Adventure Sci-Fi","3.8","With the world on the brink of a nuclear war, Superman takes it upon himself to destroy all nuclear weapons. However, Lex Luthor creates Nuclear Man, a force strong enough to take down Superman.","Sidney J. Furie","Christopher Reeve Gene Hackman Margot Kidder"
"The Human Centipede 2 (Full Sequence)","2011","1h 31min","Horror","3.8","Inspired by the fictional Dr. Heiter, disturbed loner Martin dreams of creating a 12-person centipede and sets out to realize his sick fantasy.","Tom Six","Laurence R. Harvey Ashlynn Yennie Maddi Black"
"Piranha 3DD","2012","1h 23min","Comedy Horror Sci-Fi","3.8","After the events at Lake Victoria, the pre-historic school of blood-thirsty piranhas make their way into a newly opened waterpark.","John Gulager","Danielle Panabaker Ving Rhames David Hasselhoff"
"Deadly Illusions","2021","1h 54min","Crime Drama Mystery","3.8","After a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur.","Anna Elizabeth James","Kristin Davis Dermot Mulroney Greer Grammer"
"The Adventures of Sharkboy and Lavagirl 3-D","2005","1h 33min","Action Adventure Comedy","3.8","A young boy is recruited by his imaginary friends Sharkboy and Lavagirl to help save their planet.","Robert Rodriguez","Cayden Boyd George Lopez Kristin Davis"
"In the Name of the King: A Dungeon Siege Tale","2007","2h 7min","Action Adventure Fantasy","3.8","A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son, two acts committed by the Krugs, a race of animal-warriors who are controlled by the evil Gallian.","Uwe Boll","Jason Statham Ron Perlman Ray Liotta"
"The Wicker Man","2006","1h 42min","Horror Mystery Thriller","3.8","A sheriff investigating the disappearance of a young girl from a small island discovers there's a larger mystery to solve among the island's secretive, neo-pagan community.","Neil LaBute","Nicolas Cage Ellen Burstyn Leelee Sobieski"
"The Canyons","2013","1h 39min","Drama Thriller","3.8","When Christian, an LA trust-fund kid with casual ties to Hollywood, learns of a secret affair between Tara and the lead of his film project, Ryan, he spirals out of control, and his cruel mind games escalate into an act of bloody violence.","Paul Schrader","Lindsay Lohan James Deen Nolan Gerard Funk"
"The American Society of Magical Negroes","2024","1h 44min","Comedy Fantasy","3.8","A young man is recruited into a secret society of magical black people who dedicate their lives to a cause of utmost importance: making white people's lives easier.","Kobi Libii","Justice Smith Zachary Barton Anthony Coons"
"Exorcist II: The Heretic","1977","1h 57min","Horror","3.8","A teenage girl once possessed by a demon finds that it still lurks within her. Meanwhile, a priest investigates the death of the girl's exorcist.","John Boorman","Richard Burton Linda Blair Louise Fletcher"
"The Avengers","1998","1h 29min","Action Adventure Sci-Fi","3.8","Two British Agents team up to stop Sir August de Wynter from destroying the world with a weather-changing machine.","Jeremiah S. Chechik","Ralph Fiennes Uma Thurman Sean Connery"
"The Love Guru","2008","1h 27min","Comedy Romance Sport","3.8","Pitka, an American raised outside of his country by gurus, returns to the States in order to break into the self-help business. His first challenge is to settle the romantic troubles and subsequent professional skid of a star hockey player whose wife left him for a rival athlete.","Marco Schnabel","Mike Myers Jessica Alba Romany Malco"
"Caddyshack II","1988","1h 38min","Comedy Sport","3.8","Pitka, an American raised outside of his country by gurus, returns to the States in order to break into the self-help business. His first challenge is to settle the romantic troubles and subsequent professional skid of a star hockey player whose wife left him for a rival athlete.","Marco Schnabel","Mike Myers Jessica Alba Romany Malco"
"The Last Days of American Crime","2020","2h 28min","Action Crime Drama","3.8","In the not-too-distant future, as a final response to terrorism and crime, the U.S. government plans to broadcast a signal making it impossible for anyone to knowingly commit unlawful acts.","Olivier Megaton","Neels Clasen Edgar Ramírez Tony Caprari"
"Doom: Annihilation","2019","1h 36min","Action Adventure Horror","3.8","A group of UAC Marines respond to a distress call from a top secret scientific base on Phobos, a moon around Mars, only to discover it's been overrun by demons who seek to create Hell on Earth.","Tony Giglio","Amy Manson Dominic Mafham Luke Allen-Gale"
"The Last Airbender","2010","1h 43min","Action Adventure Family","3.9","Aang, a young successor to a long line of Avatars, must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.","M. Night Shyamalan","Noah Ringer Nicola Peltz Beckham Jackson Rathbone"
"Escape Plan II","2018","1h 33min","Action Crime Mystery","3.9","Years after he fought his way out of an inescapable prison, Ray Breslin has organized a new top-notch security force. But when one of his team members goes missing, Breslin must return to the hell he once escaped from.","Steven C. Miller","Sylvester Stallone Dave Bautista Xiaoming Huang"
"Holmes & Watson","2018","1h 30min","Comedy Crime Mystery","3.9","A humorous take on Sir Arthur Conan Doyle's classic mysteries featuring Sherlock Holmes and Doctor Watson.","Etan Cohen","Will Ferrell John C. Reilly Ralph Fiennes"
"Halloween: Resurrection","2002","1h 29min","Horror Thriller","3.9","Three years after he last terrorized his sister, Michael Myers confronts her again, before traveling to Haddonfield to deal with the cast and crew of a reality show which is being broadcast from his old home.","Rick Rosenthal","Jamie Lee Curtis Busta Rhymes Brad Loree"
"Crossroads","2002","1h 33min","Comedy Drama Romance","3.9","Three childhood friends embark on a cross-country adventure to pursue dreams they once put aside, taking risks that are sure to change their lives forever.","Tamra Davis","Britney Spears Anson Mount Zoe Saldaña"
"Jeepers Creepers 3","2017","1h 40min","Horror","3.9","Sheriff Dan Tashtego and a team of creeper hunters enlist the help of officer Davis Tubbs to help stop the monster's eating spree.","Victor Salva","Stan Shaw Gabrielle Haugh Brandon Smith"
"London Fields","2018","1h 58min","Crime Mystery Thriller","3.9","Clairvoyant femme fatale Nicola Six has been living with a dark premonition of her impending death by murder. She begins a tangled love affair with three uniquely different men: one of whom she knows will be her murderer.","Mathew Cullen","Cara Delevingne Theo James Jaimie Alexander"
"Pluto Nash","2002","1h 35min","Action Comedy Sci-Fi","3.9","In the future, a man struggles to keep his lunar nightclub out of the hands of the Mafia.","Ron Underwood","Eddie Murphy Jay Mohr Randy Quaid"
"Plan 9 from Outer Space","1957","1h 19min","Horror Sci-Fi","3.9","Evil aliens attack Earth and set their terrible ""Plan 9"" into action. As the aliens resurrect the dead of the Earth, the lives of the living are in danger.","Edward D. Wood Jr.","Gregory Walcott Tom Keene Mona McKinnon"
"The Turning","2020","1h 34min","Drama Horror Mystery","3.9","A young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. A modern take on Henry James' novella ""The Turn of the Screw.""","Floria Sigismondi","Mackenzie Davis Finn Wolfhard Brooklynn Prince"
"You Got Served","2004","1h 35min","Drama Music","3.9","In order to achieve their dream of opening a recording studio, two friends (Omarion, Houston) must first win their city's dance contest -- a fierce competition that pits them against a group of tough street dancers.","Chris Stokes","Omarion Jarell Houston Raz B"
"Furry Vengeance","2010","1h 32min","Comedy Family","3.9","In the Oregon wilderness, a real-estate developer's new housing subdivision faces a unique group of protestors: local woodland creatures who don't want their homes disturbed.","Roger Kumble","Brendan Fraser Brooke Shields Ricky Garcia"
"Recep Ivedik 4","2014","1h 57min","Comedy","3.9","Recep Ivedik, coaching a local children's football team, sadly discovers that their field was sold to a businessman.","Togan Gökbakar","Sahan Gökbakar Dilanur Cinar Firuze Gamze Aksu"
"Double Dragon","1994","1h 36min","Action Adventure Comedy","3.9","Two brothers have half of a powerful ancient Chinese talisman. An evil gang leader has the other half, and determines to get the brothers' half and have a complete medallion so he can gain absolute power.","James Yukich","Robert Patrick Mark Dacascos Scott Wolf"
"Kisi Ka Bhai Kisi Ki Jaan","2023","2h 25min","Action Comedy Drama","3.9","The eldest brother refuses to marry since he believes it may create disharmony in his big family. His brothers, who've already found partners, come together to find a match for him.","Farhad Samji","Salman Khan Pooja Hegde Venkatesh Daggubati"
"Mr. Nanny","1993","1h 24min","Action Comedy Family","3.9","A former professional wrestler is hired to be the bodyguard/nanny for a couple of bratty kids whose inventor father is being stalked by a rival.","Michael Gottlieb","Hulk Hogan Sherman Hemsley Afa Anoai"
"Angelus","2011","1h 29min","Horror Mystery Thriller","3.9","After the death of his wife and child, an author travels to Barcelona to see his estranged brother and dying father, where he learns that his life is plagued by events that occur on 11/11/11.","Darren Lynn Bousman","Timothy Gibbs Michael Landes Brendan Price"
"Speed 2: Cruise Control","1997","2h 1min","Action Adventure Crime","4.0","A computer hacker breaks into the computer system of the Seabourn Legend cruise liner and sets it speeding on a collision course into a gigantic oil tanker.","Jan de Bont","Sandra Bullock Jason Patric Willem Dafoe"
"They/Them","2022","1h 44min","Drama Horror Mystery","4.0","A group of teenagers at an LGBTQ+ conversion camp endures unsettling psychological techniques while being stalked by a mysterious masked killer.","John Logan","Kevin Bacon Theo Germaine Anna Chlumsky"
"Prom Night","2008","1h 28min","Horror","4.0","Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends.","Nelson McCormick","Brittany Snow Scott Porter Jessica Stroup"
"Beverly Hills Chihuahua","2008","1h 31min","Adventure Comedy Drama","4.0","While on vacation in Mexico, Chloe, a ritzy Beverly Hills chihuahua, finds herself lost and in need of assistance in order to get back home.","Raja Gosnell","Drew Barrymore George Lopez Piper Perabo"
"The Last Exorcism Part II","2013","1h 28min","Horror Thriller","4.0","As Nell Sweetzer tries to build a new life after the events of the first movie, the evil force that once possessed her returns with an even more horrific plan.","Ed Gass-Donnelly","Ashley Bell Julia Garner Spencer Treat Clark"
"Material Girls","2006","1h 38min","Comedy Family Romance","4.0","Two wealthy sisters, both heiresses to their family's cosmetics fortune, are given a wake-up call when a scandal and ensuing investigation strip them of their wealth.","Martha Coolidge","Hilary Duff Haylie Duff Anjelica Huston"
